strategy_types,lookback_period,rsi_window,ma_window,rebalance_period,num_stocks,portfolio_type,combine_method,Total Return,Annual Return,Volatility,Sharpe Ratio,Max Drawdown,strategy_name
"['momentum', 'rsi', 'ma_crossover']",21,21,50,10,10,long_short,or,0.07914555049323813,0.012725033818074882,0.026412027956624014,0.48178935138842693,-0.07155680522061303,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",126,21,100,42,3,long,or,0.4427757426630883,0.06615698138688786,0.1373391292234793,0.4817052631754837,-0.23546661346201703,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",252,5,10,21,3,long,or,0.5816075339039539,0.091755246869476,0.1904855191884884,0.48169145486950504,-0.3504217428148849,"momentum, rsi, ma_crossover (OR)"
"['rsi', 'ma_crossover']",252,10,20,42,5,long_short,and,0.1718584718264884,0.02615327609296836,0.05429907855231669,0.4816523003750405,-0.1398452425188912,"rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",63,14,10,42,5,long_short,and,0.375407389225783,0.05482205879333857,0.11383729947598763,0.481582566045521,-0.16096772490637268,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'ma_crossover']",21,14,100,21,3,long,or,0.5768859564261606,0.08132144820978504,0.16891964466988207,0.4814209050031493,-0.29252394259922565,"momentum, ma_crossover (OR)"
"['momentum', 'ma_crossover']",21,14,100,10,3,long,or,0.5526305329543049,0.07844787734841052,0.16304767450060478,0.48113459813938986,-0.24043016323089428,"momentum, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",21,14,50,42,3,long_short,or,0.4038525374698201,0.05792902426401225,0.12042637060566828,0.48103271710893547,-0.2246227723287625,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi']",252,10,50,42,3,long,and,0.5867489873305383,0.09243396138421289,0.19218292047031896,0.4809686581825493,-0.3358476905454042,"momentum, rsi (AND)"
"['momentum', 'rsi', 'ma_crossover']",126,5,50,21,5,long,or,0.46918819805896184,0.06954237934988039,0.14460039182437703,0.48092801459585527,-0.20852229658969768,"momentum, rsi, ma_crossover (OR)"
"['rsi', 'ma_crossover']",252,21,50,21,5,long_short,and,0.13118942615818363,0.020674557363081325,0.04300251936039986,0.4807754910778577,-0.0774252360765535,"rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",21,14,100,21,3,long,or,0.3743097911645694,0.05609722843183196,0.11669392619654773,0.48072106458520664,-0.18818928569442928,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",126,14,10,42,3,long,or,0.40443742852586406,0.06115082871109023,0.1272345422991782,0.48061499342922703,-0.2032090703724433,"momentum, rsi, ma_crossover (OR)"
"['rsi', 'ma_crossover']",252,21,100,42,3,long_short,or,0.10342404024298224,0.017038183680530228,0.03546104424635981,0.4804760841829764,-0.07093595517065576,"rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",63,14,10,42,3,long_short,and,0.40046769786425784,0.05801600956901387,0.12082426997846733,0.48016850902019254,-0.1831155898009995,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",21,10,10,10,3,long_short,and,0.09346801261546989,0.0146618993909724,0.03054433678429063,0.4800202241913864,-0.06505582231858342,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",252,21,50,21,3,long_short,and,0.3176654437211872,0.05424466744855261,0.11303021445789306,0.479912983521413,-0.1640942521674137,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",126,21,10,21,5,long,or,0.3402242225054857,0.052507472023470614,0.10943039506572202,0.47982529892115916,-0.19326430939036376,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",63,10,100,5,10,long_short,or,0.04195706141759148,0.007080387711659197,0.014758012581962843,0.47976566440340385,-0.030508432945113628,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'ma_crossover']",126,14,50,5,10,long_short,and,0.17881989568858137,0.029167263437137825,0.06081462031773283,0.4796093979498708,-0.09837860217728678,"momentum, ma_crossover (AND)"
"['momentum', 'ma_crossover']",21,14,20,10,5,long_short,or,0.21978800659102693,0.032893086796889515,0.06861166848873687,0.47940951621500305,-0.1368028423051183,"momentum, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",63,14,20,42,3,long,or,0.3852004232491497,0.05607590885010083,0.11697522030465904,0.4793828017938545,-0.165142963729224,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",63,14,20,42,10,long_short,or,0.12337184536248591,0.019670264671951987,0.04103626836453021,0.47933853286119027,-0.08943556027824018,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",252,10,10,10,10,long_short,or,0.05564314054913022,0.01042313221665836,0.021747586389014126,0.47927765547001777,-0.03946971992375692,"momentum, rsi, ma_crossover (OR)"
"['rsi', 'ma_crossover']",252,21,10,42,3,long,or,0.5345504962546375,0.07224882125578147,0.15076557263697488,0.47921299267537576,-0.2547299123125345,"rsi, ma_crossover (OR)"
"['momentum', 'rsi']",126,10,50,10,3,long_short,or,0.16891789782945787,0.027651236270768598,0.05774781940817642,0.4788273661958135,-0.07885828641648918,"momentum, rsi (OR)"
"['rsi', 'ma_crossover']",252,10,100,5,5,long_short,or,0.047836414540626704,0.008053595779769829,0.01682259243430549,0.4787369016529536,-0.029890023710211655,"rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",63,5,100,5,10,long,and,0.4457824811338036,0.06532866799604742,0.13649692541274808,0.4786090807430456,-0.2475487018413507,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'ma_crossover']",126,14,10,21,5,long_short,and,0.5040739386310076,0.07393768212019514,0.1545851567400531,0.4782974231124083,-0.21933224889198832,"momentum, ma_crossover (AND)"
['momentum'],126,14,50,42,10,long_short,and,0.5041227052694537,0.07394376714265061,0.1547299419918918,0.47788919320169737,-0.23757017943879832,momentum
"['momentum', 'rsi', 'ma_crossover']",63,21,50,42,3,long_short,and,0.3637768419760612,0.05332325070829924,0.11161963961898053,0.4777228352494323,-0.17811975024688986,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",252,14,10,42,3,long,or,0.49788002423160016,0.08044330889242479,0.1684467343939819,0.4775593256932786,-0.3046084440133071,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",63,10,10,42,3,long,or,0.3993943995707241,0.057880196294992636,0.12122314312517722,0.47746820287628156,-0.17938161693333643,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",63,14,100,5,3,long_short,and,0.1414079717415957,0.02296418104449094,0.04810119039115389,0.4774139861768202,-0.07925849687626207,"momentum, rsi, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,5,100,5,5,long_short,and,0.10992897618624986,0.018064909422072395,0.03784567728307896,0.47733085305753875,-0.07144898072541617,"rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",126,21,100,21,10,long_short,or,0.11989295831839675,0.01998539656714149,0.041875058151244475,0.4772625388353651,-0.06365369327544312,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",126,21,100,42,5,long_short,or,0.2778560596529851,0.04377885303689166,0.09174214671663518,0.4771945567407727,-0.16419948669646434,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",252,10,10,10,3,long,and,0.5911186302180049,0.09300939418444942,0.19496749397959506,0.4770507754189199,-0.3107566225493339,"momentum, rsi, ma_crossover (AND)"
"['rsi', 'ma_crossover']",252,10,100,5,3,long_short,or,0.06382950608860316,0.010678227577208155,0.02238824820136257,0.47695681596732825,-0.03683893011728134,"rsi, ma_crossover (OR)"
"['rsi', 'ma_crossover']",252,10,100,10,5,long_short,and,0.12222109805583004,0.019991539880825027,0.041919034580103216,0.4769084040478826,-0.08350263943619873,"rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",126,10,50,5,3,long_short,and,0.22598656957186458,0.03624756391929451,0.0760127656870271,0.4768615322923422,-0.13971770182627719,"momentum, rsi, ma_crossover (AND)"
